iter	Passed	Remaining
1319	91871	12527
1320	91931	12457
1321	91990	12386
1322	92069	12317
1323	92132	12247
1324	92192	12176
1325	92255	12105
1326	92316	12035
1327	92378	11964
1328	92439	11894
1329	92509	11824
1330	92589	11756
1331	92657	11686
1332	92720	11616
1333	92799	11547
1334	92875	11479
1335	92936	11408
1336	93003	11338
1337	93060	11267
1338	93125	11197
1339	93188	11126
1340	93247	11056
1341	93311	10986
1342	93373	10915
1343	93437	10845
1344	93498	10774
1345	93558	10704
1346	93621	10634
1347	93703	10565
1348	93789	10498
1349	93847	10427
1350	93913	10357
1351	93976	10287
1352	94038	10217
1353	94098	10146
1354	94176	10077
1355	94238	10007
1356	94305	9937
1357	94363	9867
1358	94440	9798
1359	94501	9728
1360	94566	9658
1361	94641	9589
1362	94703	9519
1363	94763	9448
1364	94826	9378
1365	94888	9308
1366	94951	9238
1367	95025	9169
1368	95088	9099
1369	95150	9028
1370	95212	8958
1371	95273	8888
1372	95333	8818
1373	95399	8748
1374	95459	8678
1375	95523	8608
1376	95582	8537
1377	95645	8467
1378	95708	8397
1379	95770	8327
1380	95831	8257
1381	95897	8188
1382	95955	8117
1383	96020	8047
1384	96080	7977
1385	96160	7909
1386	96220	7839
1387	96282	7769
1388	96347	7699
1389	96406	7629
1390	96482	7560
1391	96545	7490
1392	96610	7420
1393	96667	7350
1394	96724	7280
1395	96808	7212
1396	96870	7142
1397	96931	7072
1398	96993	7002
1399	97058	6932
1400	97118	6862
1401	97181	6793
1402	97241	6723
1403	97298	6652
1404	97364	6583
1405	97429	6513
1406	97491	6444
1407	97569	6375
1408	97645	6306
1409	97710	6236
1410	97771	6167
1411	97832	6097
1412	97914	6028
1413	97975	5958
1414	98037	5889
1415	98096	5819
1416	98159	5749
1417	98220	5679
1418	98286	5610
1419	98364	5541
1420	98426	5471
1421	98488	5402
1422	98550	5332
1423	98612	5263
1424	98676	5193
1425	98733	5123
1426	98796	5054
1427	98859	4984
1428	98921	4914
1429	98984	4845
1430	99060	4776
1431	99123	4706
1432	99188	4637
1433	99249	4567
1434	99305	4498
1435	99389	4429
1436	99465	4360
1437	99528	4291
1438	99591	4221
1439	99649	4152
1440	99726	4083
1441	99792	4013
1442	99856	3944
1443	99915	3874
1444	99979	3805
1445	100044	3736
1446	100114	3666
1447	100178	3597
1448	100238	3528
1449	100301	3458
1450	100361	3389
1451	100422	3319
1452	100485	3250
1453	100549	3181
1454	100614	3111
1455	100677	3042
1456	100737	2973
1457	100794	2903
1458	100877	2834
1459	100939	2765
1460	101003	2696
1461	101067	2626
1462	101126	2557
1463	101189	2488
1464	101252	2419
1465	101318	2349
1466	101378	2280
1467	101441	2211
1468	101498	2141
1469	101559	2072
1470	101621	2003
1471	101686	1934
1472	101748	1865
1473	101824	1796
1474	101888	1726
1475	101948	1657
1476	102010	1588
1477	102072	1519
1478	102134	1450
1479	102197	1381
1480	102255	1311
1481	102316	1242
1482	102394	1173
1483	102456	1104
1484	102517	1035
1485	102574	966
1486	102644	897
1487	102706	828
1488	102769	759
1489	102828	690
1490	102884	621
1491	102969	552
1492	103029	483
1493	103109	414
1494	103169	345
1495	103248	276
1496	103312	207
1497	103375	138
1498	103435	69
1499	103500	0
